trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	message	typingTime	sender	timeFromRoundStart	eventType	messageType	uttClass
0	trees_purple_berries	development	7358-3d41165b-5b34-4daf-bd4c-c6e7458df339	1554914990595	listener	tree-berries_color-purple	tree-trunk_color-purple	tree-trunk_color-white	Notice the yellow stem	14244	speaker	28493	chatMessage		
1	flowers_orange_stems_or_thorns	development	7358-3d41165b-5b34-4daf-bd4c-c6e7458df339	1554915018576	listener	flower-thorns_present	flower-petals_color-orange	flower-center_color-white	Notice the purple centr with the white petals	15041	speaker	22453	chatMessage		
2	birds_tails	development	7358-3d41165b-5b34-4daf-bd4c-c6e7458df339	1554915052817	listener	bird-tail_present	bird-crest_tail_color-orange	bird-crest_tail_color-white	Look for the one orange feather with the solid purple bird	24411	speaker	28728	chatMessage		
3	flowers_purple_stems_or_thorns_white_centers	development	7358-3d41165b-5b34-4daf-bd4c-c6e7458df339	1554915086695	listener	flower-center_color-white	flower-petals_color-orange	flower-petals_color-white	two toned purple flower only	12718	speaker	24761	chatMessage		
4	flowers_orange_petals_purple_centers	development	7358-3d41165b-5b34-4daf-bd4c-c6e7458df339	1554915112763	listener	flower-petals_color-orange	flower-petals_color-white	flower-petals_color-orange	purple petals	12471	speaker	18344	chatMessage		
5	flowers_purple_centers_or_orange_stems_with_thorns	development	7358-3d41165b-5b34-4daf-bd4c-c6e7458df339	1554915144674	listener	flower-center_color-purple	flower-center_color-purple	flower-stem_color-orange	orange petals white stem orange center	17821	speaker	20761	chatMessage		
6	birds_purple_wings_white_crests_or_white_tails	development	7358-3d41165b-5b34-4daf-bd4c-c6e7458df339	1554915183625	listener	bird-bird_wing_color-purple	bird-bird_wing_color-white	bird-crest_tail_color-white	orange bird no tail feathers one orange feather	23902	speaker	29840	chatMessage		
7	flowers_purple_stems_thorns	development	7358-3d41165b-5b34-4daf-bd4c-c6e7458df339	1554915214252	listener	flower-stem_color-purple	flower-stem_color-purple	flower-petals_color-purple	orange petals purple dots orange stem	12749	speaker	18556	chatMessage		
8	trees_purple_berries_or_white_trunks	development	7358-3d41165b-5b34-4daf-bd4c-c6e7458df339	1554915232393	listener	tree-trunk_color-white	tree-leaves_color-white	tree-leaves_present-false	blue petals	6529	speaker	8959	chatMessage		
