rule	iterationName	gameid	time	firstRole	score	gameId	nativeEnglish	ratePartner	confused	comments	strategy	role	totalLength	eventType
trees_orange_berries_purple_trunks_or_white_leaves	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554929460851	speaker	88	2885-df6e2185-625c-43f4-8e5f-b757fc873715	no	loved	yes	No	Find as few differences as possible and name them	speaker	1357827	exitSurvey
trees_orange_berries_purple_trunks_or_white_leaves	development	2885-df6e2185-625c-43f4-8e5f-b757fc873715	1554929469947	speaker	88	2885-df6e2185-625c-43f4-8e5f-b757fc873715	yes	liked	yes	No problems,	I thought it was fun,	listener	1301582	exitSurvey
