rule	iterationName	gameid	time	firstRole	score	gameId	nativeEnglish	ratePartner	confused	comments	strategy	role	totalLength	eventType
bugs_purple_wings_or_white_legs	development	4939-fa34f578-4fef-4673-87f1-db8a5ed6520b	1554924627236	listener	88	4939-fa34f578-4fef-4673-87f1-db8a5ed6520b	yes	loved	yes	No	chose the image described,	listener	792937	exitSurvey
bugs_purple_wings_or_white_legs	development	4939-fa34f578-4fef-4673-87f1-db8a5ed6520b	1554924632065	listener	88	4939-fa34f578-4fef-4673-87f1-db8a5ed6520b	yes	loved	yes	no	tell the only difference on the images,	speaker	921250	exitSurvey
