rule	iterationName	gameid	time	firstRole	score	gameId	nativeEnglish	ratePartner	confused	comments	strategy	role	totalLength	eventType
trees_purple_berries_or_white_trunks	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555013899950	listener	84	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	yes	not much	yes	no	look at picture based on description	listener	1484526	exitSurvey
trees_purple_berries_or_white_trunks	development	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	1555013925911	listener	84	9889-e61a8bf2-4d1b-44cc-a4bb-ba7e1112dd6f	yes	loved	yes		I made up terms for parts of recurring images and stuck with the terms to avoid confusion between us	speaker	2475698	exitSurvey
