trialNum	rule	iterationName	gameid	time	firstRole	salientFeature	distr1Feature	distr2Feature	selection	timeFromRoundStart	eventType
29	bugs_purple_legs_white_heads	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931534694	listener	bug-legs_color-purple	bug-wings_present-true	bug-head_color-white	target	15645	clickedObj
30	flowers_orange_stems_or_thorns	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931571501	listener	flower-stem_color-orange	flower-petals_color-purple	flower-center_color-orange	target	33761	clickedObj
31	flowers_orange_stems_or_thorns	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931589123	listener	flower-thorns_present	flower-center_color-white	flower-petals_color-white	target	14579	clickedObj
32	bugs_white_legs_purple_wings_or_orange_antennae	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931610717	listener	bug-bug_wings_color-purple	bug-antennae_present-false	bug-bug_wings_color-purple	target	18545	clickedObj
33	fish_white_stripes_or_purple_bodies_whiskers	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931637353	listener	fish-body_color-purple	fish-stripes_color-purple	fish-body_color-white	target	23582	clickedObj
34	bugs_antennae_or_wings_purple_bodies	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931662757	listener	bug-body_color-purple	bug-head_color-white	bug-legs_color-purple	target	22351	clickedObj
35	fish_whiskers	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931685381	listener	fish-whiskers_present	fish-body_color-white	fish-stripes_color-purple	target	19565	clickedObj
36	bugs_without_wings	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931710483	listener	bug-wings_present	bug-antennae_present-true	bug-bug_wings_color-orange	target	22058	clickedObj
37	trees_purple_trunks_or_white_leaves_orange_berries	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931728758	listener	tree-leaves_color-white	tree-leaves_color-purple	tree-berries_color-purple	target	15233	clickedObj
38	trees_purple_leaves_berries	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931751431	listener	tree-leaves_color-purple	tree-berries_color-orange	tree-berries_color-purple	target	19616	clickedObj
39	flowers_orange_petals_purple_centers	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931769524	listener	flower-petals_color-orange	flower-petals_color-white	flower-center_color-purple	target	15049	clickedObj
40	bugs_orange_head	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931783510	listener	bug-head_color-orange	bug-head_color-white	bug-wings_present-true	target	10941	clickedObj
41	fish_white_bodies_orange_stripes_or_fangs	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931796878	listener	fish-stripes_color-orange	fish-stripes_color-purple	fish-body_color-white	target	10312	clickedObj
42	flowers_purple_stems_thorns	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931812932	listener	flower-stem_color-purple	flower-center_color-purple	flower-center_color-white	target	13007	clickedObj
43	flowers_purple_stems_white_petals_or_orange_centers	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931826540	listener	flower-center_color-orange	flower-center_color-purple	flower-center_color-white	target	10526	clickedObj
44	birds_purple_wings_white_crests_or_white_tails	development	3824-e4983e90-05b6-4b3d-81c9-6529e88e0ed4	1554931843492	listener	bird-crest_tail_color-white	bird-crest_tail_color-purple	bird-crest_tail_color-orange	target	13905	clickedObj
